"137";"85177450M";"Camiseta Puma Active Tee - Feminina - Pink - M";"0.0000"
"138";"85177450G";"Camiseta Puma Active Tee - Feminina - Pink - G";"1.0000"
"142";"51664810";"Camiseta Puma A.C.E SS Tee - Vermelha - Drycell - Masculina";"0.0000"
"143";"51664810P";"Camiseta Puma A.C.E SS Tee - Vermelha - Drycell - Masculina - P";"1.0000"
"144";"51664810M";"Camiseta Puma A.C.E SS Tee - Vermelha - Drycell - Masculina - M";"0.0000"
"145";"51664810G";"Camiseta Puma A.C.E SS Tee - Vermelha - Drycell - Masculina - G";"1.0000"
"146";"51664810GG";"Camiseta Puma A.C.E SS Tee - Vermelha - Drycell - Masculina - GG";"0.0000"
"147";"02193901";"Boné BMW Puma Motorsport RCT Cap - Preto - Masculino";"0.0000"
"148";"51732403";"Bermuda Puma Energy Knit Charcoal - DryCell - Cinza e Laranja - Masculino";"0.0000"
"149";"51732403P";"Bermuda Puma Energy Knit Charcoal - DryCell - Cinza e Laranja - Masculina - P";"1.0000"
"150";"51732403M";"Bermuda Puma Energy Knit Charcoal - DryCell - Cinza e Laranja - Masculina - M";"0.0000"
"151";"51732403G";"Bermuda Puma Energy Knit Charcoal - DryCell - Cinza e Laranja - Masculina - G";"0.0000"
"152";"51732403GG";"Bermuda Puma Energy Knit Charcoal - DryCell - Cinza e Laranja - Masculina - GG";"0.0000"
"153";"07575203";"Mochila Puma Classic Backpack Feminino - Rosa";"0.0000"
"154";"51732401";"Bermuda Puma Energy Knit Charcoal - DryCell - Preta - Masculino";"0.0000"
"155";"51732401P";"Bermuda Puma Energy Knit Charcoal - DryCell - Preta - Masculino - P";"1.0000"
"156";"51732401M";"Bermuda Puma Energy Knit Charcoal - DryCell - Preta - Masculino - M";"0.0000"
"157";"51732401G";"Bermuda Puma Energy Knit Charcoal - DryCell - Preta - Masculino - G";"0.0000"
"158";"51732401XXG";"Bermuda Puma Energy Knit Charcoal - DryCell - Preta - Masculino - XXG";"0.0000"
"159";"57785402";"Camiseta Ferrari Puma Big Shield Tee - Vermelha - Masculina";"0.0000"
